D1BPM6_VEIPT,A0A2D3P600_9FUSO,C0EJJ1_NEIFL,L1MCS5_9BACT,C3JCB2_POREA,A0A7W4HJV8_9BACT,D6GSY8_FILAD,W1W7T9_9FIRM,U2MCA6_9BACT,E6KWI6_9PAST,A0A2W5KWT7_9CORY,A0A380N4Y6_9FIRM,D1BP93_VEIPT,A0A239YF41_9FIRM,A0A7W4HEW8_9BACT,E4LDI2_9FIRM,A0A3P2AFV8_9FIRM,A0A3P1ZCI1_9BACT,A0A069ZK08_9PORP,A0A2G6QS19_9SPIR,NUOD_NEIMB,D2NQS3_ROTMD,A7B9J2_9ACTO,X8ISL9_9STRE,E3H5W3_ROTDC,UPI000F66B8D6,F1ZRM2_9FLAO,C0EJZ3_NEIFL,A0A6L5DSP1_9BACT,A0A2I1Z7Q9_9MICC,label
0.0147316735,0.013986587,0.01366535,0.015725026,0.013726084,0.01386031,0.016743528,0.012446588,0.014254894,0.014025864,0.014019921,0.013208793,0.015819542,0.013289898,0.014584768,0.013993793,0.014944,0.013569041,0.01371344,0.01395696,0.012857553,0.014026622,0.01632183,0.013588244,0.014351072,0.013394307,0.014413682,0.0139615955,0.014121891,0.014573189,0
0.01459811,0.013994727,0.015163313,0.015197696,0.01361619,0.014314011,0.017644161,0.012353207,0.013348819,0.012999854,0.014557672,0.014048961,0.015756752,0.013403251,0.013829327,0.013324175,0.014815231,0.013643657,0.013959412,0.013976044,0.013917256,0.014294978,0.01694689,0.013640599,0.014813288,0.01347346,0.014123934,0.014397147,0.013035555,0.015123886,1
0.014972999,0.01413587,0.015418231,0.01486529,0.0143784955,0.014305125,0.015961953,0.013340157,0.014084603,0.013310751,0.013848755,0.013672656,0.015598919,0.01313883,0.013605153,0.014244146,0.015244741,0.013857464,0.01397044,0.013933492,0.01323956,0.013945164,0.016825732,0.01285713,0.014891634,0.013445061,0.014760047,0.014241974,0.013856252,0.015395755,1
0.014445892,0.014177481,0.014773023,0.015402273,0.013547644,0.01358781,0.016461989,0.012399507,0.0136978,0.013480493,0.013877834,0.013263359,0.014158176,0.013423836,0.014059467,0.013557516,0.01483748,0.013795503,0.014010616,0.014014542,0.013206899,0.014084974,0.015780184,0.01327933,0.015205875,0.013549583,0.015255207,0.01451714,0.013712876,0.015423537,0
0.014907586,0.012994482,0.014787068,0.015603695,0.013585602,0.014220678,0.014568151,0.012331615,0.0148295425,0.013028294,0.01377324,0.013517202,0.016323,0.013881382,0.013263573,0.013602783,0.014660247,0.013594996,0.013821511,0.0132716745,0.013086365,0.015214709,0.016907118,0.013456119,0.015412511,0.013583755,0.014432354,0.013782586,0.014191568,0.015777797,1
0.014703452,0.014622471,0.016424922,0.01522485,0.014072537,0.014024985,0.0184615,0.01271662,0.0141197955,0.013500718,0.0137263695,0.0139522785,0.0137223005,0.013829122,0.01371805,0.013960536,0.015174747,0.013616722,0.0139803225,0.014075067,0.013091105,0.014518695,0.015983332,0.013432251,0.014830296,0.013467359,0.013800442,0.014792281,0.013871478,0.01531357,0
0.015783446,0.013545654,0.014632944,0.015025204,0.014412087,0.014017663,0.015083074,0.014692568,0.016034076,0.013029765,0.01428856,0.014611995,0.016459158,0.014351178,0.013037055,0.015031223,0.014926749,0.013351481,0.0139622055,0.013385172,0.012640845,0.014983833,0.017099686,0.013435896,0.015235071,0.013934783,0.014493453,0.014176119,0.014529772,0.015729016,0
0.014615229,0.013080187,0.01596602,0.01665217,0.01447785,0.01356486,0.018035034,0.012656634,0.014522017,0.013688581,0.01408897,0.0133629395,0.015017902,0.014324607,0.014528743,0.013550693,0.015300259,0.014442792,0.014080437,0.014242048,0.012767794,0.013959776,0.016342359,0.014286287,0.014024281,0.014206592,0.01421617,0.014579993,0.014541011,0.0153255435,0
0.015410352,0.014260584,0.014652476,0.01550747,0.013359145,0.014393844,0.017765848,0.014280597,0.013766543,0.013806993,0.013882508,0.014525603,0.015308503,0.014134244,0.014249917,0.014542712,0.01451661,0.014846792,0.013883986,0.013767714,0.012552282,0.0143196285,0.016414221,0.013703096,0.015068798,0.013461315,0.01437399,0.013632478,0.013894126,0.01502644,0
0.014147318,0.014771493,0.014766275,0.01489511,0.0147274025,0.014207072,0.018460913,0.012111803,0.014705632,0.013494351,0.01356568,0.013722368,0.015046204,0.0134544,0.0151928775,0.013212018,0.015165942,0.01396787,0.013716036,0.014064646,0.012886542,0.014271631,0.016780328,0.0135631785,0.014546187,0.013519928,0.01467619,0.014069545,0.01355525,0.015005584,0
0.014189461,0.014783641,0.014694494,0.0153766,0.015686857,0.013278479,0.018670883,0.012304395,0.014098628,0.013264234,0.01356877,0.013449994,0.014754571,0.013548162,0.014760516,0.013038336,0.015440898,0.014323186,0.013923106,0.014603698,0.014082547,0.013563002,0.017112507,0.013736601,0.013984743,0.013592422,0.014512522,0.014508275,0.013764355,0.014847234,0
0.01533721,0.014347217,0.014841323,0.015959466,0.013666537,0.014030861,0.015163998,0.012611113,0.015739862,0.0137068825,0.013753973,0.01258247,0.015508815,0.0139657045,0.013201326,0.014383314,0.014922807,0.014272817,0.01349954,0.014106538,0.012837652,0.014231289,0.016725661,0.013744334,0.0153014,0.01370578,0.014778407,0.013668336,0.014416219,0.015450348,0
0.01525415,0.015158145,0.01528646,0.016323822,0.014820565,0.013817976,0.016636359,0.012792095,0.015049719,0.014311633,0.01390219,0.013602361,0.013823843,0.014042618,0.015051604,0.013653594,0.015190076,0.015064637,0.013453291,0.014343236,0.012892365,0.013974558,0.015787419,0.013945487,0.014895515,0.013870134,0.014775563,0.013620699,0.014293279,0.015212456,0
0.015610165,0.013888923,0.014833088,0.015396768,0.01436712,0.014301217,0.016220292,0.012694173,0.016253315,0.013397069,0.0137513615,0.0146261705,0.0156141445,0.013976465,0.013863672,0.014024364,0.014932054,0.01371311,0.013675934,0.0139848655,0.012620379,0.013992722,0.016748067,0.013679241,0.015079224,0.013524868,0.014586666,0.013565695,0.014685425,0.015316757,0
0.014403812,0.014528582,0.014553829,0.015830012,0.013912382,0.0141489655,0.016367046,0.012159576,0.014271322,0.01316246,0.014468854,0.013818985,0.015269365,0.013030724,0.015267702,0.013395124,0.015157754,0.013743325,0.013590197,0.014378874,0.013391117,0.014028181,0.016758503,0.013852877,0.014733492,0.013491609,0.014703035,0.013388392,0.013341021,0.01527365,0
0.014095883,0.015140238,0.014872354,0.015766978,0.015169317,0.013697551,0.019433841,0.0124067515,0.0149651375,0.013612809,0.0139759565,0.01380078,0.014892635,0.012990462,0.016545694,0.013189379,0.015271357,0.014497218,0.013587813,0.014843256,0.013708859,0.014003964,0.016703349,0.013856449,0.014628145,0.01355504,0.01473568,0.014303174,0.013805578,0.015380373,0
0.015035919,0.013527434,0.015083856,0.015660822,0.013782817,0.013636051,0.016302252,0.012285984,0.014571967,0.013876118,0.014345209,0.013032114,0.014774189,0.0138172805,0.014076254,0.012819642,0.014964775,0.013933811,0.013678891,0.01387669,0.013351054,0.014588384,0.016727798,0.014054945,0.015460241,0.013785894,0.014205732,0.01382342,0.014252677,0.015484805,1
0.014300471,0.013934055,0.01612969,0.015307402,0.013382049,0.013855341,0.015195492,0.012441248,0.013845934,0.013197311,0.014876974,0.013749623,0.016442996,0.013538242,0.013265707,0.013743969,0.014463347,0.013492915,0.013594019,0.013233022,0.013492946,0.014956967,0.016558716,0.013494007,0.015874214,0.013487457,0.014298969,0.013565602,0.013715389,0.015845552,1
